料理名,1人前の目安量(g),カロリー (kcal),たんぱく質 (g),脂質 (g),炭水化物 (g),食塩相当量 (g),category,dish_type
白米ごはん,150,252,3.8,0.5,57,0,和食,主食
玄米ごはん,150,247,4.5,1.7,53.5,0,和食,主食
天丼,450,650-850,25-35,20-40,80-100,2.5-3.5,和食,主食
きつねうどん,450,350-500,15-20,8-15,60-80,3.0-5.0,和食,主食
握り寿司,90,110-130,10-15,1-3,15-20,0.5-1.0,和食,主食
ざるそば,300,350-450,15-20,3-8,60-80,3.5-5.0,和食,主食
お好み焼き（豚玉）,400,500-700,20-30,20-40,50-80,2.5-4.0,和食,主食
たこ焼き（8個）,200,300-400,8-12,10-15,40-50,1.5-2.5,和食,主食
おかゆ,200,110-130,2,0.2,25,0,和食,主食
ラーメン（醤油/塩）,600,450-750,20-35,15-35,60-90,5.0-8.0,中華,主食
チャーハン,400,600-900,20-30,25-45,60-90,3.0-4.5,中華,主食
中華丼,500,600-800,25-35,15-30,80-100,3.0-4.0,中華,主食
担々麺,550,700-950,25-35,35-55,70-90,4.0-6.0,中華,主食
麻婆豆腐丼,450,600-800,25-35,25-40,60-80,3.0-4.5,中華,主食
フィレステーキ,150,300-450,35-45,15-30,0-5,0.8-1.5,フレンチ,主食
ビーフ・ブルギニヨン,250,400-550,30-40,20-35,20-35,1.5-2.5,フレンチ,主食
仔羊のロースト,150,450-650,35-45,30-50,0-5,1.0-1.5,フレンチ,主食
鶏肉のクリーム煮,250,500-700,30-40,35-55,10-20,1.5-2.5,フレンチ,主食
舌平目のムニエル,150,350-500,25-35,20-35,5-15,1.5-2.5,フレンチ,主食
オマール海老のラタトゥイユ,250,450-650,30-40,25-40,20-35,2.0-3.0,フレンチ,主食
鴨のコンフィ,200,600-800,30-40,50-70,0-5,1.5-2.5,フレンチ,主食
牛丼,並盛(約400g),650-850,25-35,20-35,80-100,3.0-4.5,高校生,主食
カレーライス,1人前(約450g),600-800,15-25,20-35,80-100,2.5-3.5,高校生,主食
コンビニおにぎり,2個(約200g),350-450,8-12,10-20,50-65,1.5-2.5,高校生,主食
カップラーメン,1個(約80g),350-500,8-12,15-25,45-60,4.0-7.0,高校生,主食
菓子パン（メロンパンなど）,1個(約100g),380-450,5-8,15-25,50-65,0.5-1.0,高校生,主食
鶏むね肉のから揚げ定食,ご飯普通盛り,700-900,30-45,30-50,80-110,3.0-4.5,高校生,主食
